City_En,Longtitude,Latitude,Attributes,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Beijing,116.41667,39.91667,GRDP,4525.7,5267.2,6252.5,7149.8,8387.0,10425.5,11813.1,12900.9,14964.0,17188.8,19024.7,-0.4629248254278827,-0.3377440141354749,-0.2082516833294235,-0.05017893953989819,0.1484025216249807,0.3736217662355813,0.5370751745721173,35943.3,40269.6
Beijing,116.41667,39.91667,RP,1423.0,1456.0,1493.0,1538.0,1601.0,1676.0,1771.0,1860.0,1962.0,2024.0,2078.0,-0.7755102040816317,-0.11836734693877458,0.12448979591836827,0.22448979591836826,0.210204081632654,0.18163265306122542,0.15306122448979684,2189.0,2189.0
Beijing,116.41667,39.91667,LFTR,539.87,588.96,,,,1435.67,1775.58,1913.97,2251.59,2854.63,3124.75,-0.579403246264354,-0.3441949115179303,-0.07110444886082298,0.057131810813194295,0.2088705903100437,0.4205967537356459,0.3081034517842243,4643.87,
Beijing,116.41667,39.91667,PCDI,,,,16853.0,19296.0,21458.0,24371.0,26571.0,29228.0,33176.0,36817.0,-0.4660604195626107,-0.33016945915259804,-0.18276546301503585,-0.031536167909932966,0.1430163092496897,0.33357561995309903,0.5339395804373893,69434.0,75002.0
Beijing,116.41667,39.91667,MHI,4998.0,5073.0,4835.0,4818.0,4877.0,6210.0,6497.0,9734.0,9411.0,9495.0,9632.0,-0.29758493655341867,-0.36205485059353326,-0.17151043798608342,-0.16864510847318945,0.12218583708554981,0.2396643471142031,0.6379451494064667,10599.0,
Beijing,116.41667,39.91667,EF,35.39,39.29,44.93,52.27,33.74,40.77,46.9,52.89,61.34,73.74,,-0.44337234581137014,-0.24762500372256457,-0.19884451591768673,-0.03957830787099083,0.08091366627951997,0.2918788528544628,0.5566276541886298,,
Beijing,116.41667,39.91667,FCR,,,31.7,31.7,31.7,31.7,31.7,35.8,35.8,35.8,35.8,-0.8571428571428577,0.14285714285714235,0.14285714285714235,0.14285714285714235,0.14285714285714235,0.14285714285714235,0.14285714285714235,43.8,
Tianjin,117.2,39.13333,GRDP,1926.9,2257.8,2621.1,3158.6,3538.2,4158.4,5182.4,5709.6,6830.8,8112.5,9043.0,-0.45858807745379854,-0.28944377439547864,-0.23131866795038009,-0.08589641545044074,0.15093480520112482,0.37290020750277175,0.5414119225462014,14008.0,15695.0
Tianjin,117.2,39.13333,RP,1007.0,1011.0,1024.0,1043.0,1075.0,1115.0,1176.0,1228.0,1299.0,1341.0,1378.0,-0.06904761904761851,0.24761904761904815,0.4142857142857148,0.4809523809523815,-0.06904761904761851,-0.5190476190476185,-0.48571428571428515,1387.0,1373.0
Tianjin,117.2,39.13333,LFTR,154.81,177.56,201.64,,,438.36,546.26,614.27,776.65,1004.51,1105.56,-0.7486925320964064,-0.20428275731189,0.07743740704289354,0.2200120926989228,0.18213634738705034,0.22208197437583613,0.2513074679035936,1500.14,
Tianjin,117.2,39.13333,PCDI,,,,10255.0,11526.0,13116.0,15444.0,16967.0,19266.0,21714.0,24030.0,-0.4894715754796776,-0.3353425633263588,-0.18208609713751495,-0.008636424342251639,0.17509682589146602,0.3299114098740151,0.5105284245203223,43854.0,47449.0
Tianjin,117.2,39.13333,MHI,2641.0,7132.0,2560.0,2472.0,2367.0,2334.0,2784.0,4238.0,4542.0,4428.0,4551.0,-0.5284479856357308,-0.2919986533497921,-0.10896644596566012,0.06385366401077351,0.13926607563685364,0.2547413309392888,0.4715520143642692,5838.0,
Tianjin,117.2,39.13333,EF,9.76,11.19,12.4,14.8,14.29,16.57,20.61,23.82,29.21,41.36,,-0.22738457084961583,0.40686061658706046,-0.3226226660877108,-0.5667969315385722,-0.07439571573310141,0.43320306846142775,0.3511361991605157,,
Tianjin,117.2,39.13333,FCR,,,8.2,8.2,8.2,8.2,8.2,9.9,9.9,9.9,9.9,-0.8571428571428577,0.1428571428571424,0.1428571428571424,0.1428571428571424,0.1428571428571424,0.1428571428571424,0.1428571428571424,12.1,
Hebei,115.48333,38.03333,GRDP,5518.9,6333.6,7588.6,8773.4,10043.0,12152.9,14200.1,15306.9,18003.6,21384.7,23077.5,-0.4349792757853214,-0.3464169098929804,-0.2354457372089614,-0.04179894179894208,0.1603374515213304,0.33328268895019497,0.5650207242146786,36013.8,40391.3
Hebei,115.48333,38.03333,RP,6735.0,6769.0,6809.0,6851.0,6898.0,6943.0,6989.0,7034.0,7194.0,7232.0,7262.0,-0.5363881401617275,-0.3162623539982055,-0.17789757412399168,0.010781671159027197,0.2246181491464486,0.3315363881401593,0.46361185983827247,7464.0,7448.0
Hebei,115.48333,38.03333,LFTR,202.75,255.46,,,,618.3,748.89,839.33,1074.04,1348.51,1560.59,-0.4467972029736538,-0.2909342660959905,-0.21561357636468542,-0.1473579960321838,0.07699234508012935,0.4705078993600404,0.5532027970263462,2527.28,
Hebei,115.48333,38.03333,PCDI,,,,5581.0,6295.0,7233.0,8365.0,9267.0,10428.0,12059.0,13647.0,-0.4629389703375383,-0.32384589157858845,-0.18341629730651204,-0.030003409478349764,0.13792021820661443,0.32522332083191274,0.5370610296624617,27136.0,29383.0
Hebei,115.48333,38.03333,MHI,18701.0,9018.0,17760.0,18046.0,17733.0,19425.0,15632.0,80963.0,81403.0,80185.0,79119.0,-0.34670387918911255,-0.28461089115337124,-0.3301962311503423,-0.2997555223816008,0.02085632072001967,0.6532961208108875,0.5871140823435241,86939.0,
